Stock Group,Series name,Short description,Marketing description
MDXC,MDXCY-CL series,High Performance Flexible VSD Marine / Power Cable 0.6/1kV 90°C,"Firstflex MDXCY-CL Series is a flexible VSD marine and power cable designed for demanding applications. It features a transparent PVC sheath for easy inspection and durability, making it suitable for AC Variable Speed Drive (VSD) connections in fixed installations or occasional flexing without tensile load. The cable offers advanced RFI and EMI protection with double screening and interstitial earth cores (6mm² and above) to ensure effective shielding against electromagnetic interference. Constructed with tinned copper, it is flame retardant, UV stabilised, and resistant to moisture, oxidation, ozone, and sunlight. Additionally, it is rated for permanent submersion up to 200 metres, making it a reliable choice for marine, industrial, and submerged installations"
KSXC,KSXCY series,High Performance Fixed Copper Tape VSD Power Cable Flexible Conductors for Fixed Applications,"Firstflex KSXCY Series is a high-performance fixed wiring VSD power cable, designed for reliable connection of AC Variable Speed Drives (VSD) or other applications requiring fixed EMC screened cables. Featuring flexible Class 5 conductors, it offers ease of installation while maintaining robust performance. The cable's copper tape screening, combined with interstitial earth cores (6mm² and above), ensures effective RFI and EMI protection, minimizing interference and reactance with nearby devices. UV stabilised and flame retardant, it is resistant to heat, oil, and chemicals, making it suitable for demanding environments. For optimal performance, it should be earthed using EMC-compatible glands, such as the Firstflex GM-EMC-FT Series."
FDXC,FDXCY series,High Performance Flexible VSD Power Cable 0.6/1kV 90°C,"Firstflex FDXCY Series is a high-performance flexible VSD power cable designed for reliable operation in challenging environments. Ideal for AC Variable Speed Drive (VSD) connections, it provides flexibility for fixed installations and occasional flexing without tensile load. Featuring advanced RFI and EMI protection with double screening (CBS and foil tape) and interstitial earth cores (6mm² and above), it ensures excellent shielding against low-frequency and electromagnetic interference. The cable is UV stabilised, flame retardant, and moisture resistant, with robust resistance to oxidation, ozone, sunlight, heat, oil, and chemicals. For optimal performance, it should be earthed using an EMC-compatible gland, making it a dependable solution for industrial and commercial applications."
BFX,BFX series,Ultra Performance Flexible Rubber SDI Cable 0.6/1kV 110°C,"Firstflex BFX series cables are engineered for ultra-performance and versatility across various demanding applications. Featuring a Chemtuff sheath, they offer exceptional resistance to chemicals, solvents, oils, and fats. Ideal for power switchboards, flexible droppers from busbars, transformers, load banks, and other equipment requiring fixed or flexible cables, these cables also excel in pumping applications, being suitable for permanent submersion up to 500 metres. They are perfect for welding and electrode leads, generator sets for temporary power supplies, and automotive uses such as battery leads, jumpers, and electric forklifts. Additionally, the BFX series is excellent for audio equipment requiring oxygen-free copper wire and telecommunications where finely stranded large cross-section cables are needed for minimal voltage drop. Rated at 0.6/1kV and 110°C, these flexible rubber SDI cables deliver reliable performance in the toughest conditions."
PF,PF series,High Performance Flexible Cable 250/440V 90°C,"Firstflex PF series is a high-performance flexible cable rated at 250/440V and 90°C, designed for a wide range of applications. It is ideal for interconnecting various forms of lighting, including fluorescent fittings, high bays, low bays, floodlights, and reading lamps. Additionally, it is suitable for use as interconnection leads for appliances and as domestic power extension leads. The PF series features metre marking for better length control, extremely fine stranded copper conductors for superior flexibility and conductivity, and UV stabilisation for outdoor durability. It is also flame retardant and resistant to heat, oil, and chemicals, ensuring reliable performance in diverse environments."
MC,MC series,Standard Performance Fixed Circular TPS Cable 450/750V 90°C,"Firstflex MC Series is designed for a variety of applications, including power distribution for mains and submains in fixed installations, direct burial as part of a Category B wiring system, and outdoor use in wet locations not prone to mechanical damage. Additionally, with the correct explosion-proof glands, this cable can be installed in hazardous areas subject to explosion risks, in compliance with AS/NZS 60079.14. The product features metre marking for better length control, UV stabilisation, flame retardancy, and resistance to heat, oil, and chemicals."
MLS,MLG2 single series,"Ultra Performance Flexible Rubber Industrial / Marine Cable 0.6/1kV 90°C AS/NZS 5000.1, IEC 60092, H07RN-F","Firsflex MLG2 Series ultra performance flexible rubber cable is a versatile and robust solution designed for a wide range of industrial and marine applications. Rated at 0.6/1kV and capable of withstanding temperatures up to 90°C, this cable meets AS/NZS 5000.1, IEC 60092, and H07RN-F standards. It is ideal for hazardous areas when used with explosion-proof glands and can be submerged in polluted liquids up to 10 meters, making it perfect for wastewater treatment plants. The durable CPE sheath makes it suitable for outdoor temporary power supplies and lighting in entertainment settings. Additionally, its flexible tinned copper construction is Lloyds approved for marine use, including installation in pleasure craft and super yachts. The MLG2 Series is also excellent for power switchboards, flexible droppers, transformers, load banks, and construction sites due to its outstanding flexibility and durability. Notably, it can be permanently submerged up to 500 meters, making it ideal for pumping applications. Key features include UV stabilisation, flame retardance, water and moisture resistance, good elongation at break, excellent dielectric properties, and resistance to environmental factors such as oxidation, ozone, and sunlight. This cable also exhibits very good behaviour in varying outdoor temperatures, along with good tensile strength, tearing strength, and abrasion resistance."
OD,OD series,Ultra Performance Flexible Rubber Cable 250/440V 90°C,"Firstflex OD Series is an ultra-performance flexible rubber cable rated at 250/440V and 90°C, known for its exceptional durability and versatility. The CHEMTUFF Ordinary Duty OD Series is specifically designed for applications requiring high resistance to chemicals, solvents, oils, and fats. It is ideal for use as extension leads on construction sites due to its outstanding flexibility and excellent coiling characteristics, even in cold conditions. Additionally, it is suitable for powering machine tools, construction and engineering equipment, and conveyors. The OD Series boasts several key features: it is UV stabilised, flame retardant, extremely flexible, and resistant to water and moisture, making it suitable for permanent submersion up to 200 metres. Furthermore, it is resistant to heat, oil, and chemicals, ensuring reliable performance in demanding environments."
HD,HD series,Ultra Performance Flexible Rubber Double Sheath Cable 0.6/1kV 90°C,"Firstflex Chemtuff Twinskin HD Series is an ultra-performance flexible rubber double sheath cable designed for rigorous applications. Rated at 0.6/1kV and capable of withstanding temperatures up to 90°C, this cable is ideal for environments requiring high resistance to chemicals, solvents, oils, and fats. Its outstanding flexibility and cable memory make it perfect for extension leads on construction sites, while the double sheath with a separator provides extra safety for machine tools, construction and engineering equipment, and conveyors. The HD Series is also suitable for permanent submersion up to 200 metres, making it ideal for pumping applications. Additionally, its extra durable SER sheath ensures reliability for outdoor temporary power supply and lighting leads in entertainment settings. Key features include UV stabilisation, flame retardancy, extreme flexibility, water and moisture resistance, and resistance to heat, oil, and chemicals."
MLM,MLG2 multi series,"Ultra Performance Flexible Rubber Industrial / Marine Cable 0.6/1kV 90°C AS/NZS 5000.1, IEC 60092, H07RN-F","Firsflex MLG2 Series ultra performance flexible rubber cable is a versatile and robust solution designed for a wide range of industrial and marine applications. Rated at 0.6/1kV and capable of withstanding temperatures up to 90°C, this cable meets AS/NZS 5000.1, IEC 60092, and H07RN-F standards. It is ideal for hazardous areas when used with explosion-proof glands and can be submerged in polluted liquids up to 10 meters, making it perfect for wastewater treatment plants. The durable CPE sheath makes it suitable for outdoor temporary power supplies and lighting in entertainment settings. Additionally, its flexible tinned copper construction is Lloyds approved for marine use, including installation in pleasure craft and super yachts. The MLG2 Series is also excellent for power switchboards, flexible droppers, transformers, load banks, and construction sites due to its outstanding flexibility and durability. Notably, it can be permanently submerged up to 500 meters, making it ideal for pumping applications. Key features include UV stabilisation, flame retardance, water and moisture resistance, good elongation at break, excellent dielectric properties, and resistance to environmental factors such as oxidation, ozone, and sunlight. This cable also exhibits very good behaviour in varying outdoor temperatures, along with good tensile strength, tearing strength, and abrasion resistance."
EP,EP series,Extreme Performance Flexible Cable 0.6/1kV 90°C,"Firstflex EP Series Extreme Performance Flexible Cable 0.6/1kV 90°C is designed to meet the rigorous demands of various industries. Its microbe and hydrolysis-resistant, super durable PUR sheath makes it ideal for the food and beverage industry, as well as laboratory environments. This cable excels in applications requiring extreme wear resistance and reverse bending, such as floor sanding and drills. Its robust construction also makes it suitable for outdoor temporary power supplies, extension leads, and agricultural equipment. Additionally, the EP Series is perfect for materials and handling systems, including cable spring reelers and large energy chains. It maintains extreme flexibility even in low temperatures, making it suitable for use in freezers and ski fields. Key features include extreme resistance to abrasion, tearing, and notching, good reverse bending strength, a non-marking sheath, and resistance to environmental factors like oxidation, ozone, and sunlight. The cable is also halogen-free, UV stabilised, flame retardant, and resistant to water, moisture, seawater, wastewater, heat, oil, and chemicals. With excellent tensile strength, tearing strength, elongation at break, and dielectric properties, it also offers avian and rodent resistance."
